frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.022255,0.041417,-0.012769,-0.015301,0.023546,-0.013507,0.155017,-0.042026,0.076428,-0.818863,0.068663,0.034501,-0.057525,0.008069,0.034226,-0.049366,-0.682476,0.953885,-2.76052,0.407718
2,0.021903,0.042613,-0.01334,-0.003215,0.028945,-0.010756,0.465529,0.262107,0.317463,-0.817394,0.069028,0.035661,-0.059457,0.005778,0.024942,-0.047881,-0.354619,-0.739911,-1.447618,0.433681
3,0.021843,0.043506,-0.013637,0.004404,0.016834,-0.004244,0.070336,0.062693,0.403769,-0.83013,0.069212,0.036676,-0.061506,0.003806,0.019983,-0.051655,-0.167088,-0.223134,-1.407904,0.465522
4,0.021973,0.043768,-0.013711,0.011456,0.008902,-0.002561,0.485485,-1.083197,2.661334,-0.834049,0.069223,0.037065,-0.062542,0.002627,0.017076,-0.053931,-4.711123,1.992534,1.16587,0.482994
5,0.022639,0.044004,-0.013811,0.01863,0.000655,-0.001208,-0.178923,0.025627,0.397222,-0.837152,0.069102,0.037524,-0.064673,-0.006681,0.011604,-0.058836,-0.192004,0.342948,-0.435229,0.51157
6,0.023622,0.043869,-0.013952,0.025713,-0.006941,-0.007148,-0.364905,0.365118,0.346326,-0.838458,0.068866,0.037536,-0.066942,-0.003381,-0.001323,-0.061016,-0.309812,0.001149,-0.162946,0.520388
7,0.024671,0.043507,-0.014301,0.025705,-0.005324,-0.014129,3.177001,4.065477,2.252151,-0.846459,0.068471,0.037233,-0.069091,-0.012279,-0.012405,-0.054106,0.146143,0.186425,-0.317944,0.521694
8,0.025226,0.043346,-0.014525,0.026478,-0.010682,-0.01024,3.15689,4.610071,2.720916,-0.845806,0.068178,0.037014,-0.07018,-0.018377,-0.009375,-0.05244,0.055179,0.224246,-0.27992,0.521204
9,0.02636,0.043128,-0.014951,0.031615,-0.001158,-0.011658,-0.218335,1.07936,0.019712,-0.84646,0.067485,0.036629,-0.07204,-0.016926,-0.009054,-0.044049,-4.075064,2.715213,2.232988,0.516143
10,0.027381,0.043304,-0.015591,0.017928,0.007477,-0.020027,0.176527,-0.011303,0.055388,-0.847276,0.066885,0.036206,-0.073491,-0.015582,-0.012428,-0.029791,-0.193224,-0.168589,-0.03818,0.51353
11,0.027782,0.043495,-0.016026,0.017375,0.011744,-0.024835,0.196799,0.305733,-0.2543,-0.847602,0.066718,0.035949,-0.074043,-0.001547,-0.017554,-0.024558,-1.449906,-0.146288,1.301809,0.513693
12,0.028281,0.04391,-0.017081,0.004683,0.01217,-0.031264,0.104439,1.119708,-0.597923,-0.847439,0.066671,0.035459,-0.074881,0.001664,-0.009971,-0.01785,-0.549108,-2.454005,1.902964,0.513693
13,0.028453,0.04461,-0.01832,-0.003027,0.022352,-0.031022,1.262755,1.517449,0.03595,-0.854298,0.067133,0.034999,-0.075423,0.017083,-0.012259,-0.009824,-0.633516,-1.727944,0.75076,0.515326
14,0.028267,0.045459,-0.019496,-0.015446,0.020688,-0.030895,0.500967,0.720942,-0.3547,-0.861972,0.068021,0.034584,-0.075734,0.026259,-0.008092,-0.005459,-0.498889,-1.255948,0.287397,0.516959
15,0.028045,0.045839,-0.02007,-0.008528,0.01639,-0.026782,0.118505,0.500687,-0.629534,-0.8574,0.068553,0.034458,-0.075804,0.027777,-0.004381,-0.001998,-1.865814,-0.439827,0.799264,0.517285
16,0.02738,0.046659,-0.021112,-0.021667,0.020402,-0.022379,0.358085,0.527678,-1.783563,-0.860829,0.069764,0.034398,-0.075767,0.03692,0.000277,0.002738,-0.409727,-0.182695,0.837671,0.517286
17,0.02663,0.047539,-0.021786,-0.021984,0.023805,-0.011729,0.487167,0.836521,-0.690552,-0.861972,0.071275,0.034549,-0.075546,0.04592,0.004932,0.007427,-4.875855,1.901935,1.909502,0.514836
18,0.026156,0.047961,-0.021953,-0.021499,0.020715,-0.00611,0.012525,0.614178,-0.778888,-0.863605,0.072045,0.034709,-0.075383,0.046582,0.00733,0.009348,0.005924,-0.152976,0.278185,0.509284
19,0.025333,0.048828,-0.022006,-0.015475,0.023271,0.003152,-0.034802,1.442683,-3.292243,-0.867034,0.073593,0.035221,-0.074961,0.040569,0.01172,0.012539,-0.237614,0.422404,0.640301,0.504386
20,0.02494,0.049446,-0.021614,-0.014207,0.014927,0.012436,0.272708,0.161194,-1.46067,-0.864748,0.074767,0.035794,-0.074407,0.02768,0.016738,0.015891,-1.317791,0.857459,0.8141,0.508141
21,0.024695,0.049679,-0.0213,-0.007512,0.011393,0.016615,5.061529,2.496399,-0.181701,-0.861319,0.07523,0.036142,-0.074064,0.021499,0.019833,0.018063,-0.449091,0.077162,0.291835,0.508141
22,0.024568,0.049956,-0.020529,6.2e-05,0.000805,0.023959,0.1521,-0.094023,-1.04503,-0.853971,0.075861,0.036936,-0.073267,0.008656,0.024194,0.020809,-1.528038,-0.921247,2.853705,0.511897
23,0.024781,0.05008,-0.019633,0.005922,0.003193,0.024951,-0.068441,0.167835,-0.521778,-0.862135,0.076078,0.037859,-0.072382,0.002023,0.025614,0.021281,-0.163573,-0.181466,0.24868,0.512387
24,0.025283,0.050181,-0.018509,0.018238,0.002897,0.031081,0.052193,-0.271679,-0.517937,-0.866708,0.07606,0.038795,-0.071621,0.000531,0.021202,0.017291,-0.343779,-2.206233,2.444095,0.506508
25,0.025642,0.050239,-0.017887,0.018019,0.004173,0.031856,0.231176,-0.648755,-0.784705,-0.868667,0.075954,0.039265,-0.071313,-0.006569,0.020971,0.016695,-0.284274,-0.88677,0.181041,0.500303
26,0.026478,0.050244,-0.01653,0.018648,-0.00167,0.035158,0.078252,0.277217,-1.770795,-0.864911,0.075584,0.040216,-0.070742,-0.012602,0.026927,0.012521,-0.260559,-0.964072,0.121355,0.498344
27,0.027306,0.050136,-0.015106,0.019207,-0.006487,0.039214,-0.152689,0.226084,-0.926716,-0.85887,0.075068,0.04116,-0.070208,-0.012985,0.025417,0.011133,-0.358022,-1.08544,0.247735,0.499324
28,0.027632,0.050094,-0.014356,0.012261,-0.000812,0.035939,1.560196,0.913752,-1.232963,-0.856094,0.074786,0.041555,-0.069927,-0.013635,0.019308,0.014891,-5.683378,-0.726432,3.308194,0.499977
29,0.02819,0.050039,-0.013036,0.011736,0.002613,0.030562,0.297085,0.382346,-0.268504,-0.855114,0.074263,0.042245,-0.069337,-0.007802,0.016514,0.012543,-1.630683,-0.062299,0.770059,0.509121
30,0.028592,0.050199,-0.011891,0.010903,0.007445,0.026103,0.044832,1.623157,-2.817325,-0.854951,0.073826,0.042697,-0.06881,-0.009965,0.006923,0.01331,-1.668594,0.059319,0.466259,0.51353
31,0.028791,0.050324,-0.011406,0.011356,0.004703,0.024206,-0.08425,0.07191,-0.36786,-0.855604,0.073614,0.042798,-0.068547,-0.010076,0.006365,0.012836,-5.376667,1.104048,0.639905,0.51402
32,0.029061,0.050599,-0.010736,0.005497,0.003258,0.016302,-0.0812,0.078177,-0.083746,-0.862952,0.073181,0.042814,-0.068013,-0.012793,-0.004225,0.012939,0.123093,0.681463,0.812112,0.518102
33,0.029048,0.050954,-0.010332,0.004387,0.010628,0.006223,0.589142,1.904248,-2.365808,-0.859686,0.072745,0.042535,-0.067544,-0.013928,-0.007204,0.010638,-0.194008,1.812835,1.169261,0.517449
34,0.029102,0.051171,-0.010212,-0.001005,0.007005,-0.0029,0.018384,0.098813,-0.132317,-0.859849,0.072318,0.042037,-0.067029,-0.008399,-0.014538,0.013568,0.032905,2.745961,-0.997035,0.515326
35,0.029058,0.051223,-0.010259,-0.00055,0.003956,-0.004823,-0.040257,0.269236,0.201224,-0.859033,0.072119,0.041723,-0.066734,-0.008566,-0.014772,0.013398,0.104835,1.209325,0.815992,0.514999
36,0.02905,0.051192,-0.010387,-0.000128,0.001111,-0.006624,0.03434,-0.006298,-0.008124,-0.866871,0.071763,0.041076,-0.066165,-0.008774,-0.015262,0.013042,-0.102489,0.113759,-0.052381,0.511244
37,0.029125,0.051055,-0.010616,0.001169,-0.007853,-0.004996,-0.005489,0.028663,-0.040986,-0.864095,0.071348,0.04052,-0.065748,-0.009011,-0.012264,0.007015,-0.036028,-0.087742,0.121337,0.509611
38,0.02928,0.050873,-0.010893,0.006252,-0.0011,-0.008587,0.049229,-0.108564,0.166885,-0.861645,0.070841,0.040018,-0.06546,-0.010008,-0.014741,0.005096,-0.03558,-0.185847,0.291476,0.513693
39,0.029357,0.050815,-0.011018,0.006775,-0.004779,-0.003588,0.009045,0.163473,-0.207437,-0.862299,0.070575,0.039746,-0.065365,-0.016838,-0.014173,0.005275,0.016555,0.370659,0.515772,0.513856
40,0.029519,0.050775,-0.011235,-1.6e-05,0.000417,-0.00712,0.033759,0.004192,0.001193,-0.868994,0.069895,0.03912,-0.065172,-0.023939,-0.014054,0.005073,0.010988,0.529945,0.319787,0.504059
41,0.02966,0.050721,-0.011436,0.005834,0.001841,-0.006734,0.035907,-0.010752,0.030141,-0.878954,0.069134,0.038398,-0.064913,-0.018618,-0.021707,0.007758,-0.040544,0.373448,0.233457,0.503406
42,0.029739,0.05071,-0.011528,0.006507,-0.002849,-0.002376,-0.013168,0.024338,0.023989,-0.882383,0.068716,0.03797,-0.064731,-0.018225,-0.020551,0.008636,-1.712057,0.324275,0.318126,0.510591
43,0.029903,0.050723,-0.011695,-0.000337,0.002542,-0.00576,0.036628,-0.009838,0.018438,-0.883363,0.068051,0.037134,-0.064247,-0.017146,-0.021212,0.01665,-0.066049,0.404034,0.288058,0.515489
44,0.030029,0.050645,-0.011862,0.000919,-0.005946,-0.003877,0.014306,-0.085969,0.149659,-0.885323,0.067454,0.036475,-0.063621,-0.008464,-0.013784,0.014357,0.028058,0.688738,0.516057,0.516959
45,0.030166,0.050379,-0.01206,0.007196,-0.007143,-0.005221,0.015494,-0.114679,0.168523,-0.886956,0.06701,0.035989,-0.062994,-0.014121,-0.010025,0.017052,-0.004851,0.526992,0.380333,0.517939
46,0.030248,0.050235,-0.012171,0.007257,-0.00747,-0.005454,-0.00293,0.01473,-0.012397,-0.887119,0.066792,0.035815,-0.062675,-0.006657,-0.005779,0.012199,-0.004045,0.418172,0.1512,0.518102
47,0.030422,0.050009,-0.012434,0.000502,-0.002829,-0.009347,0.031654,0.022473,-0.023844,-0.886955,0.066497,0.035582,-0.062206,-0.007114,-0.006878,0.011328,-0.040863,0.210259,0.030353,0.518102
48,0.030602,0.049835,-0.012742,0.006507,-0.00205,-0.009413,0.033737,0.007494,0.005192,-0.887772,0.066163,0.035433,-0.061846,-0.007346,-0.00742,0.010901,-0.003499,0.382818,0.161278,0.517939
49,0.030731,0.04978,-0.012931,0.006516,-0.002049,-0.009434,0.036067,-0.010173,0.029647,-0.888099,0.065973,0.035358,-0.061677,-0.01319,-0.00059,0.007451,-0.021634,0.125245,-0.030455,0.518429
50,0.030988,0.049654,-0.013324,0.005947,0.002081,-0.014226,0.079479,0.164608,-0.18998,-0.886139,0.065643,0.035213,-0.061365,-0.01288,0.000165,0.008047,-0.06074,0.119907,0.020452,0.518265
51,0.031239,0.049545,-0.013747,0.000751,-0.004158,-0.010382,0.040739,0.186829,-0.235808,-0.886466,0.065416,0.035073,-0.06105,-0.000101,-0.003694,0.005523,-5.169645,0.288136,2.047692,0.518755
52,0.031463,0.049472,-0.014157,0.006374,-0.00078,-0.008688,0.036102,-0.007036,0.02574,-0.888262,0.065289,0.034909,-0.060832,-4.4e-05,-8.5e-05,-6e-05,0.000378,-0.00367,-0.002565,0.519245
53,0.03158,0.049472,-0.014322,0.006047,0.001242,-0.007315,0.1696,-0.604229,-0.182362,-0.887445,0.065235,0.034845,-0.060789,-0.000452,-0.001052,-0.000825,0.001154,-0.000308,-0.000644,0.519898
54,0.031858,0.049481,-0.014484,0.006319,-0.000858,-0.001178,0.02232,-0.061246,-0.001985,-0.884506,0.065099,0.034787,-0.060795,-4.7e-05,0.003449,-0.005813,-0.441557,-0.033259,0.176656,0.520061
55,0.032109,0.049528,-0.014448,0.005483,0.004147,0.002259,0.008459,-0.021915,0.060552,-0.882547,0.064932,0.034767,-0.060856,-0.007473,-0.000547,-0.000753,-0.000198,0.029526,-0.054788,0.520551
56,0.032233,0.049617,-0.014377,0.005186,0.005868,0.003434,0.003753,-0.027028,0.056387,-0.883853,0.064864,0.034727,-0.060871,-0.007309,-0.000151,-0.000444,0.022088,-0.02318,0.030306,0.520715
57,0.032421,0.049757,-0.014238,-0.000444,0.002629,0.001791,-0.00051,-0.004046,0.005466,-0.883853,0.064748,0.034655,-0.060861,-0.000288,-0.000673,-0.00053,-0.000263,0.001811,-0.003051,0.520551
58,0.032567,0.049788,-0.014164,-2.2e-05,0.000128,8e-05,-0.000293,-0.000566,0.000716,-0.879934,0.064729,0.034616,-0.060841,0.000148,0.000349,0.000278,-0.000411,0.001588,-0.002696,0.520715
59,0.032722,0.049773,-0.014132,0.006812,-0.004365,0.00401,-0.033562,0.007186,0.021148,-0.875035,0.064752,0.034603,-0.060844,-0.000538,-0.001258,-0.000998,-0.047462,-0.22281,-0.158784,0.520878
60,0.032816,0.049788,-0.01412,0.005827,0.001975,0.000765,0.018896,-0.051953,0.037572,-0.872259,0.064754,0.034576,-0.060878,-0.000992,-0.002323,-0.001842,0.002097,0.029609,-0.020306,0.520878
61,0.033017,0.049826,-0.014079,-7.8e-05,0.000453,0.000303,0.035662,-0.098346,-0.069735,-0.867034,0.064724,0.03449,-0.060971,-0.000987,-0.002318,-0.001841,0.002176,0.010074,0.004679,0.520061
62,0.033179,0.049877,-0.014044,0.005768,0.002289,0.000976,0.001311,-0.013258,0.030841,-0.865401,0.064646,0.034413,-0.061072,-0.001372,-0.003214,-0.002559,-0.000608,0.002591,-0.002432,0.520225
63,0.033251,0.049915,-0.014008,0.005645,0.002983,0.00145,0.001503,-0.014929,0.029413,-0.86883,0.064613,0.034358,-0.061142,-0.001515,-0.003544,-0.002825,-0.001156,0.002475,-0.003729,0.520388
64,0.033295,0.050005,-0.013924,-0.006428,0.001512,0.001605,-0.002425,0.015028,-0.02903,-0.871606,0.064627,0.034274,-0.061355,0.004833,-0.005708,-0.004227,0.000535,0.10677,-0.163564,0.520062
65,0.033197,0.050086,-0.013855,-0.006335,0.001005,0.001259,0.000124,-0.001702,-0.006065,-0.872259,0.064812,0.034152,-0.06155,0.005453,-0.004273,-0.003087,-0.002838,-0.031004,-0.009031,0.519408
