frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.004011,0.041443,-0.002306,0.069228,-0.011593,-0.062318,-0.212449,1.042408,-0.704855,-0.776571,0.114713,0.038261,-0.04815,-0.01723,0.017844,-0.092152,-0.871222,-1.906657,-0.827064,-0.534959
2,0.00661,0.041058,-0.004749,0.070288,-0.008498,-0.061629,0.165957,0.845593,-1.285815,-0.783429,0.114141,0.03892,-0.051817,-0.017853,0.018156,-0.099943,-0.696074,-1.920694,-0.41767,-0.465561
3,0.009412,0.040745,-0.00701,0.07207,-0.010827,-0.049362,-0.047523,0.720123,-0.653938,-0.784083,0.113335,0.039563,-0.055879,-0.025146,0.010606,-0.105146,-0.745907,-2.120441,-0.444007,-0.396652
4,0.012016,0.040364,-0.008791,0.067351,-0.012674,-0.043422,3.714363,3.561537,2.435133,-0.786042,0.112337,0.039848,-0.060254,-0.032908,0.001826,-0.112122,-0.556245,-1.865414,-0.485389,-0.341133
5,0.013262,0.04009,-0.009603,0.062177,-0.016613,-0.038417,4.085836,5.111164,0.003591,-0.785062,0.111819,0.039803,-0.062357,-0.033642,-0.0061,-0.110695,-0.541245,-1.825298,-0.514381,-0.32709
6,0.015866,0.039653,-0.010964,0.061935,-0.004418,-0.031068,0.07986,0.59738,-0.839063,-0.772326,0.110475,0.039433,-0.066708,-0.034469,-0.014815,-0.103871,-0.204305,-1.251877,-0.256361,-0.323334
7,0.018129,0.039279,-0.011809,0.057606,-0.014562,-0.014754,-0.074995,0.582996,-0.814276,-0.778367,0.108769,0.038947,-0.07049,-0.053646,-0.014687,-0.090395,-0.075698,-1.16603,-0.056321,-0.359748
8,0.019125,0.03907,-0.012077,0.044915,-0.010597,-0.011102,0.290267,-0.077895,-1.041673,-0.782123,0.107661,0.038679,-0.072239,-0.0598,-0.012099,-0.081633,0.270362,-0.306598,0.190289,-0.375097
9,0.020966,0.038798,-0.012384,0.044449,-0.003827,-0.006615,0.027062,0.269706,-0.580591,-0.785062,0.105068,0.038056,-0.074927,-0.07278,-0.019084,-0.056079,0.403337,-0.104396,0.516132,-0.396978
10,0.022541,0.038593,-0.012586,0.039074,-0.009486,-0.002283,-0.035559,0.142055,-0.241599,-0.798126,0.102073,0.037339,-0.076526,-0.084676,-0.015682,-0.029638,0.063782,-0.108019,0.214426,-0.437311
