frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.112826,-0.012574,0.365594,-0.213354,0.633814,-0.743509,-0.766151,-0.580708,-0.275252,-0.605962,0.510123,0.61042,0.0001,0.000433,0.000347,0.0,0.0,0.0,0.044331,-0.179622,-0.023266,0.32706,0.656638,0.550684,0.51533,-0.58881,0.801281,-0.105764,-0.471973,-0.234687,0.849722,0.015512,-0.006532,0.011666,-0.032615,-0.01869,0.03612,0.3288,0.029149,0.011063,-0.013761,-0.712061,-0.495127,0.497812,0.486385,-0.859185,-0.158835,0.506357,0.129028,0.852615,0.007753,-0.003211,0.005882,-0.032676,-0.018761,0.036167,0.261467,0.071096,0.018245,-0.060169,-0.311415,0.628693,-0.712575,-0.6573,-0.684053,-0.31627,-0.686277,0.369885,0.626265,-0.006832,0.001311,0.000975,-0.000995,0.014702,-0.029554,-0.14796
2,0.112816,-0.012573,0.365596,-0.213235,0.633851,-0.743511,-0.766172,-0.580639,-0.275337,-0.605977,0.510155,0.610378,2e-06,7e-06,6e-06,0.0,0.0,0.0,0.04472,-0.179544,-0.023348,0.327234,0.655007,0.551235,0.516815,-0.588858,0.800975,-0.107784,-0.474174,-0.234436,0.848565,0.000864,-0.007817,0.011562,0.016744,0.05564,-0.044913,0.328847,0.029188,0.011028,-0.013676,-0.710502,-0.495938,0.49923,0.48642,-0.85879,-0.160856,0.508509,0.128547,0.851407,0.000437,-0.003646,0.006037,0.157147,0.158596,-0.088533,0.261467,0.071091,0.018247,-0.060168,-0.311304,0.628749,-0.712575,-0.657332,-0.683984,-0.316352,-0.686296,0.369917,0.626224,3e-06,1.1e-05,9e-06,-5e-06,-4e-06,1.4e-05,-0.14747
3,0.112814,-0.01258,0.36559,-0.213399,0.633801,-0.743508,-0.766143,-0.580733,-0.27522,-0.605957,0.51011,0.610435,-1.4e-05,-6.2e-05,-4.9e-05,0.0,0.0,0.0,0.04472,-0.179507,-0.02358,0.327583,0.6531,0.551999,0.51841,-0.589396,0.800353,-0.109458,-0.476133,-0.234767,0.847375,0.00085,-0.008217,0.011163,-0.034659,-0.003483,0.006876,0.328085,0.029206,0.010912,-0.013501,-0.708658,-0.497032,0.500762,0.487023,-0.858133,-0.162526,0.510502,0.128707,0.850189,0.0004,-0.004651,0.00504,-0.038092,0.00925,-0.017491,0.260814,0.071091,0.018243,-0.06017,-0.311456,0.628672,-0.712576,-0.657288,-0.684078,-0.316239,-0.686269,0.369873,0.62628,-9e-06,-3e-05,-2.5e-05,-1.1e-05,-1.1e-05,-1e-06,-0.14698
4,0.112825,-0.012581,0.365589,-0.213375,0.633808,-0.743508,-0.766147,-0.580719,-0.275237,-0.60596,0.510117,0.610427,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.044771,-0.179477,-0.023844,0.328002,0.65313,0.553826,0.51642,-0.590485,0.799432,-0.110314,-0.474739,-0.233597,0.84848,0.000887,-0.007207,0.012167,-0.02818,-0.004623,-0.027301,0.326205,0.029221,0.010779,-0.013293,-0.709022,-0.498865,0.498417,0.488216,-0.857265,-0.163525,0.508853,0.127392,0.851374,0.000449,-0.00324,0.006444,-0.040473,0.005606,0.010468,0.258854,0.071096,0.018243,-0.060171,-0.311434,0.628683,-0.712576,-0.657295,-0.684065,-0.316255,-0.686273,0.36988,0.626272,-1e-06,4e-06,4e-06,-4e-06,-6e-06,1.1e-05,-0.14698
5,0.112827,-0.012575,0.365607,-0.21335,0.633819,-0.743506,-0.766168,-0.58069,-0.275241,-0.605942,0.510136,0.610428,0.000138,0.000601,0.000481,0.0,0.0,0.0,0.044448,-0.179297,-0.024046,0.328557,0.653377,0.555469,0.514339,-0.591466,0.798624,-0.11091,-0.473172,-0.232458,0.849667,0.015639,-0.002959,0.015196,0.078573,-0.22322,-0.08576,0.325314,0.029306,0.010672,-0.013021,-0.709276,-0.499827,0.49709,0.48918,-0.856728,-0.163457,0.507572,0.127231,0.852163,0.000507,-0.001553,0.008112,0.144855,-0.329788,-0.182387,0.258201,0.071097,0.018245,-0.060163,-0.311412,0.628698,-0.712572,-0.65732,-0.684039,-0.316258,-0.686259,0.369902,0.626274,9e-05,0.000397,0.000319,-3e-06,-3e-06,1.5e-05,-0.146817
6,0.112817,-0.012582,0.365615,-0.213391,0.63381,-0.743502,-0.766177,-0.580699,-0.275198,-0.605916,0.510138,0.610452,2e-06,7e-06,6e-06,0.0,0.0,0.0,0.044446,-0.1792,-0.024086,0.328887,0.653521,0.555349,0.514286,-0.591669,0.798565,-0.110248,-0.472718,-0.232948,0.849786,0.001095,-0.00132,0.017986,-0.033033,-0.006473,0.005097,0.324451,0.02936,0.01065,-0.012858,-0.709577,-0.500171,0.496314,0.489509,-0.856557,-0.163366,0.506833,0.12703,0.852632,0.00055,-0.00032,0.009328,-0.042573,0.010203,0.013887,0.256895,0.071092,0.018243,-0.060158,-0.311451,0.628682,-0.712569,-0.657328,-0.684051,-0.316216,-0.686234,0.369906,0.626299,-2e-06,-4e-06,-3e-06,-1.4e-05,2e-06,3e-06,-0.146817
7,0.112794,-0.012601,0.365625,-0.213493,0.633786,-0.743493,-0.766191,-0.580727,-0.275098,-0.605862,0.510135,0.610508,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.044806,-0.178966,-0.024095,0.329701,0.654265,0.556592,0.51199,-0.592307,0.798063,-0.110461,-0.470885,-0.231696,0.851145,0.015788,0.00198,0.020019,-0.019148,-0.043445,0.021441,0.323692,0.029471,0.010646,-0.01245,-0.710509,-0.501271,0.493866,0.490222,-0.856093,-0.163662,0.504834,0.125821,0.853996,0.000602,0.001348,0.010949,-0.03303,-0.018665,0.029369,0.255099,0.07108,0.018233,-0.060153,-0.311547,0.628642,-0.712563,-0.657338,-0.684087,-0.316118,-0.686181,0.36991,0.626355,0.0,2e-06,1e-06,-5e-06,-6e-06,1e-06,-0.146327
8,0.112795,-0.012602,0.365638,-0.213489,0.633791,-0.74349,-0.766208,-0.58071,-0.275087,-0.605842,0.510149,0.610516,0.000225,0.000977,0.000783,0.0,0.0,0.0,0.04465,-0.178819,-0.024219,0.330668,0.652533,0.55722,0.513515,-0.593147,0.79733,-0.111243,-0.472228,-0.232713,0.850122,0.016518,-0.0093,0.028102,-0.081331,0.087539,-0.15602,0.324123,0.029545,0.010593,-0.011965,-0.708884,-0.501921,0.495538,0.490996,-0.85555,-0.164183,0.506364,0.12692,0.852928,0.000961,-0.00451,0.014777,-0.070614,-0.006622,0.014666,0.254772,0.07108,0.01823,-0.060149,-0.311544,0.628647,-0.71256,-0.657358,-0.684073,-0.316106,-0.686163,0.369926,0.626365,0.000155,0.000678,0.000542,0.000871,-0.012748,0.025831,-0.146491
9,0.112795,-0.012602,0.365638,-0.213489,0.633791,-0.74349,-0.766208,-0.58071,-0.275087,-0.605842,0.510149,0.610516,3e-06,1.4e-05,1.1e-05,0.0,0.0,0.0,0.044352,-0.178784,-0.024369,0.331213,0.650782,0.557868,0.515032,-0.593656,0.796751,-0.112667,-0.474004,-0.233143,0.849016,0.00193,-0.00969,0.028875,-0.069318,-0.006957,0.013759,0.323869,0.029567,0.010523,-0.011703,-0.7071,-0.50295,0.497041,0.491609,-0.854906,-0.165696,0.508261,0.127186,0.851758,0.000943,-0.005043,0.014246,-0.074139,0.004677,-0.010031,0.254935,0.071081,0.018233,-0.060146,-0.311544,0.628647,-0.71256,-0.657357,-0.684073,-0.316106,-0.686163,0.369926,0.626364,-1e-06,4e-06,4e-06,-4e-06,2e-06,1.1e-05,-0.146164
10,0.112792,-0.012615,0.365627,-0.21353,0.633778,-0.743489,-0.766201,-0.580734,-0.275058,-0.605837,0.510137,0.610531,-3.3e-05,-0.000141,-0.000113,0.0,0.0,0.0,0.043774,-0.178764,-0.024832,0.332316,0.647986,0.559324,0.516974,-0.595738,0.795105,-0.113306,-0.475218,-0.235276,0.847748,0.001862,-0.01166,0.026921,-0.071098,0.006861,-0.011466,0.323741,0.029577,0.010299,-0.011151,-0.704519,-0.504799,0.498829,0.493831,-0.853513,-0.166267,0.509689,0.129199,0.850602,0.000922,-0.005576,0.013708,-0.071628,0.006445,-0.011205,0.255262,0.071079,0.018226,-0.060152,-0.311582,0.628627,-0.71256,-0.657347,-0.684097,-0.316078,-0.686156,0.369915,0.626379,-2.4e-05,-9.9e-05,-7.8e-05,-3e-06,-1.5e-05,-3e-06,-0.146654
